0,1,2,3,4
2013-01-13,7.8012,7.92728,7.75764,7.8634
2013-01-20,8.19646,8.2779,8.15688,8.23492
2013-01-27,8.20565,8.252325,8.135675,8.17665
2013-02-03,8.27452,8.35534,8.23604,8.31748
2013-02-10,8.21794,8.25414,8.12464,8.15404
2013-02-17,7.91202,7.96294,7.83458,7.88374
2013-02-24,7.888975,7.92715,7.8155,7.8515
2013-03-03,7.89696,7.98138,7.86614,7.95856
2013-03-10,7.9854,8.0584,7.89012,7.97626
2013-03-17,8.1069,8.18786,8.06068,8.14566
2013-03-24,8.27116,8.32874,8.21298,8.30654
2013-03-31,8.326775,8.387375,8.1856,8.24835
2013-04-07,7.38416,7.42978,7.20958,7.27006
2013-04-14,7.31512,7.46002,7.28774,7.3847
2013-04-21,7.48638,7.5631,7.39284,7.46986
2013-04-28,7.33846,7.37854,7.25882,7.31192
2013-05-05,7.63984,7.81144,7.5844,7.73594
2013-05-12,7.56844,7.64746,7.42516,7.53484
2013-05-19,7.62328,7.75304,7.55488,7.67874
2013-05-26,7.6799,7.78842,7.59968,7.7035
2013-06-02,7.793,7.8763,7.69125,7.8151
2013-06-09,7.78546,7.87632,7.70292,7.80436
2013-06-16,7.70644,7.78194,7.6109,7.68994
2013-06-23,7.89104,7.98838,7.8014,7.91994
2013-06-30,7.62732,7.65822,7.48298,7.53526
2013-07-07,7.0747,7.1159,6.9569,7.008
2013-07-14,7.16214,7.28996,7.05738,7.20752
2013-07-21,7.05322,7.10768,6.95754,7.02878
2013-07-28,6.82276,6.84998,6.71802,6.7578
2013-08-04,6.62306,6.66844,6.54762,6.58952
2013-08-11,6.4205,6.47708,6.35836,6.39818
2013-08-18,6.41074,6.5511,6.29414,6.43518
2013-08-25,6.6447,6.74594,6.54482,6.64188
2013-09-01,6.78154,6.90584,6.69498,6.7913
2013-09-08,6.621125,6.659525,6.472725,6.5443
2013-09-15,6.52594,6.57136,6.43308,6.5113
2013-09-22,6.3828,6.45472,6.32764,6.36674
2013-09-29,6.31786,6.3842,6.28084,6.33392
2013-10-06,6.1754,6.2438,6.11112,6.15446
2013-10-13,6.1796,6.22848,6.11954,6.16632
2013-10-20,6.1363,6.20614,6.11532,6.16702
2013-10-27,6.15586,6.20612,6.12024,6.15936
2013-11-03,6.02946,6.07554,5.97986,6.00152
2013-11-10,5.91284,5.96518,5.8814,5.92328
2013-11-17,6.0036,6.06438,5.95892,5.99242
2013-11-24,5.8381,5.89748,5.79478,5.8451
2013-12-01,5.88215,5.919325,5.833175,5.870225
2013-12-08,5.90662,5.97332,5.8571,5.94512
2013-12-15,5.99396,6.03316,5.91626,5.9802
2013-12-22,5.85846,5.91622,5.82478,5.88872
2013-12-29,5.934625,5.96215,5.89935,5.92605
2014-01-05,5.8203,5.85125,5.77645,5.81085
2014-01-12,5.78626,5.87498,5.7161,5.81308
2014-01-19,5.9121,5.93964,5.86122,5.89768
2014-01-26,5.8581,5.901975,5.834925,5.876175
2014-02-02,5.91764,5.96232,5.8963,5.93892
2014-02-09,6.03866,6.09916,6.0208,6.07648
2014-02-16,6.0696,6.126,6.03454,6.0827
2014-02-23,6.1977,6.250175,6.169325,6.232075
2014-03-02,6.20472,6.2732,6.16,6.22844
2014-03-09,6.47244,6.64392,6.42908,6.55106
2014-03-16,6.55376,6.6256,6.46836,6.55918
2014-03-23,6.54428,6.60054,6.47854,6.53072
2014-03-30,6.5863,6.6629,6.5524,6.62966
2014-04-06,6.76118,6.85132,6.65274,6.79572
2014-04-13,6.79368,6.87842,6.7293,6.79504
2014-04-20,6.781875,6.8453,6.72105,6.775225
2014-04-27,6.72842,6.82292,6.69024,6.76662
2014-05-04,6.89528,6.94956,6.81418,6.86444
2014-05-11,6.83964,6.93482,6.76392,6.87048
2014-05-18,6.66406,6.6969,6.57564,6.60712
2014-05-25,6.3927,6.44028,6.35182,6.37458
2014-06-01,6.32065,6.346625,6.258675,6.29385
2014-06-08,6.14544,6.20174,6.07372,6.13004
2014-06-15,5.99732,6.04962,5.931,5.97858
2014-06-22,5.93502,6.00202,5.90084,5.9625
2014-06-29,5.96434,6.00554,5.91052,5.94976
2014-07-06,5.72735,5.735825,5.58485,5.61625
2014-07-13,5.38276,5.40484,5.28406,5.31436
2014-07-20,5.15608,5.23436,5.08784,5.14204
2014-07-27,4.96272,5.00888,4.90652,4.95536
2014-08-03,4.96806,5.00152,4.91186,4.94668
2014-08-10,4.9239,4.9761,4.87372,4.9386
2014-08-17,4.92592,4.99684,4.88174,4.9721
2014-08-24,4.96206,5.01222,4.91722,4.956
2014-08-31,4.9045,4.9326,4.85832,4.90448
2014-09-07,4.7665,4.820875,4.697075,4.745575
2014-09-14,4.63888,4.66496,4.56392,4.59804
2014-09-21,4.55456,4.59872,4.50502,4.54586
2014-09-28,4.39262,4.41672,4.34848,4.37458
2014-10-05,4.31232,4.34982,4.28222,4.31968
2014-10-12,4.49836,4.59002,4.45484,4.54118
2014-10-19,4.64288,4.74256,4.58066,4.68904
2014-10-26,4.70912,4.80146,4.66962,4.73586
2014-11-02,4.8871,5.0062,4.84896,4.9587
2014-11-09,4.95266,4.99352,4.8824,4.93994
2014-11-16,5.00554,5.1233,4.97942,5.05572
2014-11-23,4.9955,5.06172,4.92592,4.97006
2014-11-30,4.9874,5.04325,4.93655,5.007925
2014-12-07,4.98594,5.04934,4.93548,5.01572
2014-12-14,5.09398,5.18778,5.06036,5.13084
2014-12-21,5.27768,5.32812,5.23822,5.29128
2014-12-28,5.31875,5.3689,5.273475,5.3301
2015-01-04,5.265375,5.287225,5.1886,5.21365
2015-01-11,5.16772,5.23628,5.1192,5.1813
2015-01-18,5.04612,5.11208,4.9316,5.00922
2015-01-25,5.003425,5.05355,4.958125,5.008275
2015-02-01,4.9064,4.9219,4.83586,4.8708
